asof,source_broker,source_account_id,source_fill_id,source_order_id,filled_at,asset_class,symbol,side,quantity,fill_price,commission,fees,currency,option_symbol,underlying_symbol,option_type,expiry,strike,multiplier,open_close,execution_venue,liquidity_flag,episode_group_id
2026-06-02,manual_csv,DEMO_ACCOUNT,FILL-001,ORDER-001,2026-06-02T10:15:00-04:00,option,AAPL 2026-07-17 180P,SELL,1,2.35,0.65,0.05,USD,AAPL 2026-07-17 180P,AAPL,PUT,2026-07-17,180,100,OPEN,MANUAL,unknown,AAPL_SELL_PUT_001
2026-06-02,manual_csv,DEMO_ACCOUNT,FILL-002,ORDER-002,2026-06-02T11:30:00-04:00,option,MSFT 2026-07-17 450C,BUY,1,4.20,0.65,0.05,USD,MSFT 2026-07-17 450C,MSFT,CALL,2026-07-17,450,100,OPEN,MANUAL,unknown,MSFT_BUY_CALL_001
2026-06-02,manual_csv,DEMO_ACCOUNT,FILL-003,ORDER-003,2026-06-02T12:00:00-04:00,option,SPY 2026-07-17 520P,SELL,1,6.00,0.65,0.05,USD,SPY 2026-07-17 520P,SPY,PUT,2026-07-17,520,100,OPEN,MANUAL,unknown,SPY_PUT_VERTICAL_001
2026-06-02,manual_csv,DEMO_ACCOUNT,FILL-004,ORDER-003,2026-06-02T12:00:00-04:00,option,SPY 2026-07-17 500P,BUY,1,2.20,0.65,0.05,USD,SPY 2026-07-17 500P,SPY,PUT,2026-07-17,500,100,OPEN,MANUAL,unknown,SPY_PUT_VERTICAL_001
2026-06-02,manual_csv,DEMO_ACCOUNT,FILL-005,ORDER-004,2026-06-02T13:00:00-04:00,option,QQQ 2026-07-17 450P,BUY,1,6.50,0.65,0.05,USD,QQQ 2026-07-17 450P,QQQ,PUT,2026-07-17,450,100,OPEN,MANUAL,unknown,QQQ_PUT_DEBIT_VERTICAL_001
2026-06-02,manual_csv,DEMO_ACCOUNT,FILL-006,ORDER-004,2026-06-02T13:00:00-04:00,option,QQQ 2026-07-17 430P,SELL,1,2.10,0.65,0.05,USD,QQQ 2026-07-17 430P,QQQ,PUT,2026-07-17,430,100,OPEN,MANUAL,unknown,QQQ_PUT_DEBIT_VERTICAL_001
2026-06-02,manual_csv,DEMO_ACCOUNT,FILL-007,ORDER-005,2026-06-02T13:00:00-04:00,option,IWM 2026-07-17 220C,SELL,1,5.40,0.65,0.05,USD,IWM 2026-07-17 220C,IWM,CALL,2026-07-17,220,100,OPEN,MANUAL,unknown,IWM_CALL_CREDIT_VERTICAL_001
2026-06-02,manual_csv,DEMO_ACCOUNT,FILL-008,ORDER-005,2026-06-02T13:00:00-04:00,option,IWM 2026-07-17 230C,BUY,1,2.00,0.65,0.05,USD,IWM 2026-07-17 230C,IWM,CALL,2026-07-17,230,100,OPEN,MANUAL,unknown,IWM_CALL_CREDIT_VERTICAL_001
2026-06-02,manual_csv,DEMO_ACCOUNT,FILL-009,ORDER-006,2026-06-02T13:00:00-04:00,option,NVDA 2026-07-17 160C,BUY,1,8.20,0.65,0.05,USD,NVDA 2026-07-17 160C,NVDA,CALL,2026-07-17,160,100,OPEN,MANUAL,unknown,NVDA_CALL_DEBIT_VERTICAL_001
2026-06-02,manual_csv,DEMO_ACCOUNT,FILL-010,ORDER-006,2026-06-02T13:00:00-04:00,option,NVDA 2026-07-17 180C,SELL,1,3.10,0.65,0.05,USD,NVDA 2026-07-17 180C,NVDA,CALL,2026-07-17,180,100,OPEN,MANUAL,unknown,NVDA_CALL_DEBIT_VERTICAL_001
2026-06-02,manual_csv,DEMO_ACCOUNT,FILL-011,ORDER-007,2026-06-02T14:00:00-04:00,stock,AAPL,BUY,100,190.00,0.00,0.01,USD,,,,,,,OPEN,MANUAL,unknown,AAPL_STOCK_LONG_001
2026-06-02,manual_csv,DEMO_ACCOUNT,FILL-012,ORDER-008,2026-06-02T14:10:00-04:00,stock,TSLA,SELL,50,180.00,0.00,0.01,USD,,,,,,,OPEN,MANUAL,unknown,TSLA_STOCK_SHORT_001
